hora_do_dia,media_passageiros,viagens_consideradas,viagens_yellow,viagens_green,viagens_descartadas
0,1.43,90848,89782,1066,4414
1,1.43,59143,58390,753,3005
2,1.45,38179,37614,565,2119
3,1.45,25048,24571,477,1548
4,1.40,16479,16131,348,1953
5,1.28,18861,18481,380,1893
6,1.26,46937,45887,1050,3755
7,1.28,94761,92325,2436,7501
8,1.29,129182,126208,2974,9658
9,1.31,145086,141807,3279,8702
10,1.35,157936,154749,3187,8081
11,1.36,172091,168620,3471,8280
12,1.37,185481,181923,3558,8675
13,1.38,189536,186197,3339,8973
14,1.39,206538,202516,4022,9797
15,1.40,211294,206927,4367,10009
16,1.40,211784,207049,4735,9705
17,1.39,231006,226111,4895,10454
18,1.38,245268,240225,5043,10601
19,1.39,219880,215799,4081,8685
20,1.40,195045,191841,3204,7136
21,1.42,198770,195990,2780,7463
22,1.43,183506,181332,2174,7842
23,1.42,143273,141649,1624,6632
